0.005,96.7
0.01,63.8
0.015,71.5
0.02,72.4
0.025,72.1
0.03,80.0
0.035,80.6
0.04,80.8
0.045,81.6
0.05,80.5
0.055,76.8
0.06,76.8
0.065,76.9
0.07,76.7
0.075,77.8
0.08,76.7
0.085,76.9
0.09,76.6
0.095,76.8
0.1,76.7
0.105,64.2
0.11,53.9
0.115,57.7
0.12,57.3
0.125,57.8
0.13,54.5
0.135,54.9
0.14,55.1
0.145,63.4
0.15,55.6
0.155,79.0
0.16,77.1
0.165,77.0
0.17,77.0
0.175,77.1
0.18,76.9
0.185,77.0
0.19,76.9
0.195,81.4
0.2,77.0
0.205,64.3
0.21,51.0
0.215,51.7
0.22,50.7
0.225,50.8
0.23,54.5
0.235,55.3
0.24,55.5
0.245,54.6
0.25,54.7
0.255,77.3
0.26,77.1
0.265,77.0
0.27,76.7
0.275,76.7
0.28,77.0
0.285,77.0
0.29,76.8
0.295,76.8
0.3,77.0
0.305,61.7
0.31,47.6
0.315,49.7
0.32,49.4
0.325,49.3
0.33,54.4
0.335,54.7
0.34,54.2
0.345,54.5
0.35,54.2
0.355,76.8
0.36,77.1
0.365,77.1
0.37,76.7
0.375,76.9
0.38,76.8
0.385,76.6
0.39,76.7
0.395,76.9
0.4,76.7
0.405,47.8
0.41,47.5
0.415,48.6
0.42,49.1
0.425,49.2
0.43,54.6
0.435,54.3
0.44,54.3
0.445,54.3
0.45,54.3
0.455,76.7
0.46,77.2
0.465,76.9
0.47,76.6
0.475,76.6
0.48,77.1
0.485,77.2
0.49,76.6
0.495,76.3
0.5,76.5
